Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15,Indiana Pacers*,82,240.9,38.6,79.5,.486,2.2,6.1,.368,36.4,73.4,.496,21.5,29.1,.738,13.8,29.4,43.2,25.1,8.6,5.6,17.6,24.1,101.0
16,Boston Celtics,82,242.7,40.6,86.1,.472,1.7,5.8,.289,39.0,80.2,.486,17.8,24.4,.730,12.6,29.0,41.7,23.5,8.2,5.4,15.1,22.5,100.8
17,Los Angeles Lakers,82,240.9,40.1,89.2,.450,2.9,9.8,.300,37.2,79.4,.468,17.2,24.0,.717,15.4,26.9,42.2,24.2,9.2,5.6,14.6,22.9,100.4
18,Washington Bullets,82,240.3,39.0,83.2,.468,2.7,9.1,.297,36.3,74.2,.489,19.7,26.4,.748,13.1,26.7,39.8,22.2,8.5,3.9,17.1,20.9,100.4
19,Denver Nuggets*,82,240.9,38.5,82.7,.465,2.1,7.3,.285,36.4,75.4,.483,21.2,29.5,.718,13.5,31.2,44.7,21.5,8.3,8.4,17.3,23.5,100.3
20,San Antonio Spurs*,82,241.2,38.8,81.6,.475,3.0,8.7,.349,35.7,72.9,.490,19.5,26.2,.742,14.5,31.7,46.2,23.1,6.8,5.5,14.6,20.3,100.0
21,New York Knicks*,82,240.9,37.8,82.1,.460,3.9,11.1,.348,33.9,71.1,.477,19.1,25.6,.746,14.3,31.0,45.3,25.2,9.2,4.7,16.6,24.4,98.5
22,Chicago Bulls*,82,241.2,39.6,83.1,.476,2.8,8.0,.354,36.7,75.1,.489,16.0,22.7,.705,13.9,29.2,43.1,25.6,9.0,4.3,15.9,21.3,98.0
23,Philadelphia 76ers,82,241.5,37.8,83.2,.455,3.9,11.5,.338,34.0,71.7,.474,18.4,25.8,.714,12.3,29.2,41.5,22.3,8.1,6.4,16.7,18.1,98.0
24,Detroit Pistons,82,240.6,38.6,85.6,.452,4.4,12.7,.344,34.3,72.9,.470,15.3,20.9,.731,12.5,28.3,40.8,21.5,7.3,3.8,15.1,23.6,96.9
25,Milwaukee Bucks,82,240.3,37.1,83.0,.447,4.0,12.4,.325,33.1,70.6,.469,18.7,26.6,.702,13.7,26.3,40.0,23.7,9.8,5.0,16.4,22.2,96.9
26,Minnesota Timberwolves,82,240.6,36.4,79.7,.457,2.2,6.8,.329,34.2,72.9,.469,21.7,28.1,.772,12.1,28.6,40.6,24.0,7.3,5.4,18.0,24.6,96.7
27,Dallas Mavericks,82,240.6,37.3,86.2,.432,2.9,9.4,.312,34.3,76.8,.447,17.7,23.7,.747,15.5,26.2,41.7,19.9,9.4,3.6,17.0,24.5,95.1
,League Average,82,241.1,39.3,84.4,.466,3.3,9.9,.333,36.0,74.5,.483,19.6,26.6,.734,13.9,29.1,43.0,24.4,8.9,5.2,16.0,22.2,101.5
